hour,day,num_users,karma_diff,post_ID
13,6,3294,2,88t7kb
12,6,3294,24,88t0xt
12,6,3294,4,88su8l
12,6,3294,0,88stao
14,6,3054,-1,88tncy
14,6,3054,-1,88tkle
13,6,3054,0,88tinz
15,6,3058,-1,88u2p7
14,6,3058,5,88twmb
14,6,3058,0,88ttd5
15,6,2517,80,88uaeo
16,6,2514,25,88ujgc
16,6,2514,3,88uox1
16,6,2514,2,88unly
16,6,2514,1,88unkr
18,6,2537,3,88varn
17,6,2537,8,88v216
17,6,2537,-3,88v1rr
17,6,2537,90,88v1xg
17,6,2537,24,88uxsj
18,6,2381,0,88vg64
18,6,2381,0,88vj3r
18,6,2381,295,88vg8v
18,6,2381,0,88vblw
18,6,2381,118,88vbk1
20,6,2480,19,88vyt1
20,6,2480,19,88vy9a
19,6,2480,8,88vrxf
19,6,2480,0,88vrrw
19,6,2480,-1,88vrj7
21,6,2569,0,88wdze
20,6,2569,0,88w84t
20,6,2569,5,88w7om
20,6,2569,-2,88w4j7
21,6,3003,3,88wmns
21,6,3003,0,88wh7y
21,6,3003,-1,88wgse
23,6,2907,51,88x0mp
22,6,2907,1,88wvx6
22,6,2907,0,88wsk8
22,6,2907,0,88wsba
22,6,2907,0,88wqod
0,0,2581,-1,88x9qj
23,6,2581,-1,88x2yd
23,6,2581,0,88x260
1,0,2289,0,88xlxx
2,0,2387,-1,88xx6d
2,0,2387,0,88xwg9
2,0,2387,3,88xurr
3,0,1920,1,88y5hi
3,0,1920,-1,88y2ai
4,0,2005,0,88yffx
7,0,2369,-1,88z6hy
7,0,2369,0,88z3wf
6,0,2369,47,88z2d2
7,0,2552,721,88zgxf
7,0,2552,6,88zcnh
8,0,2621,3,88ztsd
10,0,2769,0,890iwq
9,0,2769,0,890bnq
9,0,2769,9,89096g
10,0,2701,0,890tm8
10,0,2701,64,890s1p
10,0,2701,6,890nuj
10,0,2701,0,890myd
12,0,2645,2,892i7a
11,0,2645,4,891so4
11,0,2645,1,891wov
11,0,2645,24,891qhy
11,0,2645,2,891ngz
13,0,2866,4,893qz3
13,0,2866,0,893n1f
13,0,2866,0,893lqk
13,0,2866,0,893iov
13,0,2866,1,893hwr
13,0,2866,0,893hev
12,0,2866,4,893an7
12,0,2866,0,8939p2
12,0,2866,0,8939gj
12,0,2866,-1,893330
14,0,2387,0,894mn4
14,0,2387,0,894i3j
13,0,2387,0,894abg
13,0,2387,0,8946p7
13,0,2387,2,893x8r
15,0,3018,0,895f9j
15,0,3018,-1,895cbu
14,0,3018,0,895047
14,0,3018,1,894znt
14,0,3018,10,894y6a
14,0,3018,4,894py0
16,0,2252,0,895tcg
16,0,2252,-1,895pv9
15,0,2252,-1,895frg
17,0,2304,1,8967fg
17,0,2304,319,8965cw
16,0,2304,13,896378
16,0,2304,1,8961pz
18,0,2087,1,896npr
18,0,2087,18,896lni
18,0,2087,52,896l1d
17,0,2087,3,896csj
17,0,2087,2,896bm1
18,0,2174,7,896z7j
18,0,2174,4,896y3d
20,0,2011,1,897sc7
19,0,2011,22,897aaa
19,0,2011,0,89791b
19,0,2011,81,8975h5
22,0,2955,-1,899g6d
21,0,2955,422,898x2i
23,0,3550,-1,89a2ee
0,1,2822,5,89aipy
0,1,2822,11,89aiha
23,0,2822,43,89ae8o
1,1,2280,39,89axp7
0,1,2280,2,89av08
0,1,2280,-1,89apdb
1,1,1611,0,89b6yo
4,1,1733,1,89c467
3,1,1733,0,89c1fk
4,1,1914,5,89cf32
4,1,1914,109,89cgsn
4,1,1914,377,89cbim
5,1,1942,-1,89cvz4
6,1,2304,0,89d5w8
6,1,2304,3,89d86v
6,1,2304,440,89dh0n
8,1,2186,-1,89e3wk
7,1,2186,162,89e1dj
7,1,2186,28,89dy62
7,1,2186,59,89dr8c
9,1,2780,16,89etta
8,1,2780,0,89ee56
10,1,3816,0,89fh6w
10,1,3816,55,89ffd8
9,1,3816,19,89f7dt
9,1,3816,2,89f675
9,1,3816,0,89f41i
9,1,3816,5,89evxv
9,1,3816,0,89ew5x
11,1,3346,0,89fxv9
10,1,3346,0,89fxjo
10,1,3346,1,89fx5g
10,1,3346,0,89fv0h
10,1,3346,4,89flxc
10,1,3346,143,89fj0m
12,1,3025,8,89gnoq
11,1,3025,9,89gi4r
11,1,3025,11,89gfq1
11,1,3025,1,89gd6o
11,1,3025,1,89g90f
11,1,3025,2,89g8jw
11,1,3025,7,89g7xl
11,1,3025,4,89g6jc
13,1,3180,8,89hglu
13,1,3180,0,89hel7
12,1,3180,9,89h1ei
12,1,3180,0,89h129
12,1,3180,0,89guoy
14,1,2680,-1,89i40f
14,1,2680,3,89i1xa
13,1,2680,13,89hsfp
14,1,2680,0,89hwdk
13,1,2680,0,89hte4
13,1,2680,0,89hs8l
13,1,2680,0,89hr43
13,1,2680,4,89hpi9
13,1,2680,74,89hi4u
14,1,2955,2,89i82z
15,1,2955,18,89imj1
15,1,2955,0,89ikwi
14,1,2955,1,89ig88
16,1,2429,0,89jb13
16,1,2429,5,89j7fz
16,1,2429,0,89j7b8
15,1,2429,0,89j5bi
15,1,2429,-1,89iy95
15,1,2429,4,89iyye
16,1,2638,8,89ji3h
16,1,2638,-2,89ji9h
17,1,2638,3,89jook
17,1,2638,4,89jqk3
17,1,2638,11,89jqj0
16,1,2638,3,89jky3
16,1,2638,7,89jiui
16,1,2638,10,89jfm1
18,1,2430,2,89kb10
17,1,2430,13,89k2bs
17,1,2430,640,89k29f
17,1,2430,0,89k1pi
19,1,2705,-1,89kw9h
19,1,2705,138,89kt3o
18,1,2705,45,89kp5n
18,1,2705,1,89keym
20,1,2859,0,89lepj
19,1,2859,2,89kzka
19,1,2859,1,89l7k2
19,1,2859,44,89l7uq
19,1,2859,-1,89l6x8
19,1,2859,24,89l2te
21,1,2709,0,89ltqe
21,1,2709,0,89lswx
21,1,2709,3,89lsqp
21,1,2709,0,89lr7j
20,1,2709,-4,89lorx
20,1,2709,20,89lo32
20,1,2709,1,89ln8l
20,1,2709,5,89ljk4
20,1,2709,0,89liyu
22,1,3086,-1,89m9ly
21,1,3086,-1,89m42o
21,1,3086,4,89m3wt
22,1,2913,4,89misn
0,2,2345,2,89mykw
23,1,2345,0,89mtmx
23,1,2345,0,89mroe
0,2,2109,0,89n72p
1,2,1821,7,89nj14
2,2,1899,188,89nsqy
2,2,1899,0,89nr3h
3,2,1611,1,89o1z9
3,2,1611,10,89nyfj
4,2,1762,0,89oewh
4,2,1762,8,89ocl7
6,2,1813,178,89ox4w
5,2,1813,638,89os5k
7,2,1770,5,89p8v9
8,2,1999,1,89psyf
8,2,1999,71,89prex
7,2,1999,216,89pm1w
7,2,1999,0,89ph0f
9,2,2080,90,89qert
9,2,2080,8,89q7pc
9,2,2698,6,89qiuz
9,2,2698,11,89qhn4
10,2,3141,2,89ra7k
11,2,2874,0,89rlke
11,2,2874,-1,89rkby
13,2,2967,0,89sf0y
12,2,2967,107,89segu
12,2,2967,8,89sdmh
12,2,2967,27,89sct0
12,2,2967,0,89scra
12,2,2967,3,89s86c
12,2,2967,-3,89s6uu
12,2,2967,-1,89s617
14,2,2700,-1,89t4a5
14,2,2700,11,89t48d
14,2,2700,1,89t34v
14,2,2700,10,89szqb
14,2,2700,0,89syx2
13,2,2700,0,89soxi
13,2,2700,0,89snhl
15,2,2755,-1,89tkcv
15,2,2755,7,89tj9o
15,2,2755,0,89th7p
15,2,2755,0,89tgwt
14,2,2755,-1,89tg28
14,2,2755,0,89t81v
16,2,2476,0,89u596
16,2,2476,0,89u58j
16,2,2476,0,89u538
16,2,2476,3,89u4u8
16,2,2476,11,89u2he
15,2,2476,4,89tp05
16,2,2476,3,89u1pw
15,2,2476,0,89tzs1
15,2,2476,0,89tyn5
15,2,2476,0,89ttql
15,2,2476,-2,89trhu
17,2,2286,16,89uim4
16,2,2286,0,89ue6a
16,2,2286,5,89ua70
18,2,2346,113,89v4zk
18,2,2346,-1,89v3fq
18,2,2346,0,89uyzw
18,2,2346,2,89uyng
17,2,2346,17,89uwt0
17,2,2346,1,89usdq
17,2,2346,5,89usb5
17,2,2346,11,89urf7
17,2,2346,4,89uqnh
17,2,2346,4,89uq3a
19,2,2485,73,89vjrd
19,2,2485,-2,89vive
19,2,2485,66,89viv2
18,2,2485,-2,89va5x
19,2,2485,-3,89ve60
18,2,2485,-1,89vc2e
18,2,2485,0,89v89c
19,2,2434,36,89vlxq
21,2,2647,855,89w9lv
20,2,2647,9,89w8bw
20,2,2647,0,89w09d
22,2,3495,0,89wrur
21,2,3495,8,89whvd
21,2,3495,16,89wgej
22,2,3018,-2,89wtaf
0,3,2397,17,89xeuv
23,2,2397,0,89x57m
1,3,2164,0,89xovj
1,3,1682,2,89xv9f
1,3,1682,220,89xtdo
2,3,1813,1,89y3pq
3,3,1883,0,89ydqz
3,3,1883,5,89ybiw
6,3,1863,0,89z782
6,3,1863,43,89z41p
5,3,1863,1,89z1az
5,3,1863,2,89yvyo
6,3,2147,0,89zgt9
8,3,1892,8,8a04aw
8,3,1892,0,8a0416
7,3,1892,59,89ztvq
7,3,1892,76,89zr8e
9,3,2151,8,8a0n6k
9,3,2151,293,8a0m1m
9,3,2151,2,8a0kv6
8,3,2151,3,8a09h0
8,3,2151,0,8a0ald
9,3,2151,5,8a0fdl
9,3,2151,477,8a0hlj
9,3,2151,0,8a0fj2
8,3,2151,13,8a06qo
10,3,2583,0,8a12lt
10,3,2583,9,8a1286
10,3,2583,37,8a1168
9,3,2583,4,8a0prg
11,3,2859,437,8a1o9l
11,3,2859,0,8a1lsc
11,3,2859,2,8a1lo2
10,3,2859,1,8a15pl
10,3,2859,11,8a1en3
11,3,2859,86,8a1g2a
11,3,2859,8,8a1gdl
12,3,2667,1,8a256j
11,3,2667,8,8a1y7c
11,3,2667,1,8a1x6i
11,3,2667,0,8a1qq9
11,3,2667,27,8a1txo
11,3,2667,3,8a1qhm
11,3,2667,0,8a1ski
12,3,2836,5,8a2du9
12,3,2836,0,8a2akr
12,3,2836,15,8a29q9
14,3,3141,-1,8a384e
14,3,3141,830,8a33kv
14,3,3141,13,8a339n
14,3,3141,13,8a305l
13,3,3141,167,8a2rhl
13,3,3141,204,8a2rxz
14,3,3141,0,8a2zku
13,3,3141,0,8a2v2c
13,3,3141,0,8a2qmh
13,3,3141,0,8a2q4t
15,3,3116,50,8a3peu
15,3,3116,76,8a3o08
14,3,3116,14,8a3ekg
14,3,3116,4,8a3cte
14,3,3116,0,8a3cto
16,3,2853,1,8a40lw
15,3,2853,0,8a3yjr
15,3,2853,0,8a3tui
15,3,2853,39,8a3t2r
17,3,2751,-2,8a4j40
17,3,2751,11,8a4gxz
16,3,2751,1,8a490a
18,3,2761,26,8a50dl
18,3,2908,0,8a5a37
18,3,2908,6,8a54kl
20,3,2919,2,8a5xit
20,3,2919,-2,8a5ra9
19,3,2919,1,8a5mv9
19,3,2919,4,8a5j2s
21,3,2931,2,8a6628
20,3,2931,-1,8a5ymi
21,3,3004,0,8a6e8r
21,3,3004,0,8a6c4d
22,3,2205,-2,8a6qem
0,4,2101,9,8a7bxg
1,4,1957,0,8a7kyn
1,4,1957,-3,8a7k28
0,4,1957,0,8a7e14
0,4,1957,70,8a7d6w
3,4,1690,57,8a83ql
3,4,1690,5,8a8209
3,4,1690,34,8a80io
3,4,1396,0,8a89ps
3,4,1396,0,8a8868
6,4,1744,-1,8a91mu
6,4,2046,8,8a956s
6,4,2046,381,8a96ki
8,4,2151,17,8a9tq5
7,4,2151,16,8a9lta
9,4,2391,8,8aafun
8,4,2391,79,8aa061
8,4,2391,676,8aa49t
10,4,2521,325,8aaosv
9,4,2521,6,8aaibt
9,4,2521,4,8aaidu
11,4,2532,1,8abfsn
10,4,2532,7,8ab3zp
10,4,2532,8,8ab31l
10,4,2532,5,8ab318
10,4,2532,268,8ab274
11,4,2536,-1,8abnlw
11,4,2536,8,8abnux
11,4,2536,-1,8abj39
11,4,2536,42,8abgyq
11,4,2536,42,8abgjo
11,4,2536,0,8abge4
13,4,2602,-1,8acd9n
13,4,2602,0,8acc1k
13,4,2602,275,8ac7m7
12,4,2602,127,8ac02i
12,4,2602,3,8abzal
14,4,2763,32,8act8w
14,4,2763,7,8acpal
14,4,2763,2,8acoly
13,4,2763,8,8ackrn
13,4,2763,4,8acjvg
13,4,2763,-1,8aciqi
13,4,2763,0,8acgza
13,4,2763,198,8acev8
